            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2443376.153844710, A.D. 1977-Aug-20 15:41:32.1830,  2.724819939331455E+00,  6.702542375489336E+03,  4.170794119197719E+01,  3.321980172919647E+02,  3.457370419505094E+02, -8.114891820724201E+02,  1.493302562566900E-01,  1.211798875084063E+02,  6.709289210406010E+01, -3.885937437670890E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.154539155, A.D. 1977-Aug-20 15:42:32.1830,  2.724804164664036E+00,  6.702523326813342E+03,  4.170771642665108E+01,  3.321975533586866E+02,  3.457371985779098E+02, -8.714916422577745E+02,  1.493288442592640E-01,  1.301388397199614E+02,  6.931819224765366E+01, -3.885961933608206E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.155233600, A.D. 1977-Aug-20 15:43:32.1830,  2.724791890192851E+00,  6.702505409086969E+03,  4.170752698347047E+01,  3.321971302297032E+02,  3.457373512203009E+02, -9.314935667692718E+02,  1.493278490191905E-01,  1.390979307008691E+02,  7.133957606847210E+01, -3.885979199692059E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.155928044, A.D. 1977-Aug-20 15:44:32.1830,  2.724782279080704E+00,  6.702488898961227E+03,  4.170736701172114E+01,  3.321967455306388E+02,  3.457374992860020E+02, -9.914950540727406E+02,  1.493271526153335E-01,  1.480571332568685E+02,  7.318173244821024E+01, -3.885991281481393E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.156622489, A.D. 1977-Aug-20 15:45:32.1830,  2.724774701965301E+00,  6.702473889769089E+03,  4.170723156766397E+01,  3.321963963457312E+02,  3.457376420118803E+02, -1.051496189946987E+03,  1.493266701969271E-01,  1.570164247695391E+02,  7.486596432180907E+01, -3.885999650929438E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.157316933, A.D. 1977-Aug-20 15:46:32.1830,  2.724768686034571E+00,  6.702460365080105E+03,  4.170711652747867E+01,  3.321960795706535E+02,  3.457377787351739E+02, -1.111497046217588E+03,  1.493263409117222E-01,  1.659757868458598E+02,  7.641064124988854E+01, -3.886005363704617E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.158011377, A.D. 1977-Aug-20 15:47:32.1830,  2.724763875439733E+00,  6.702448246822732E+03,  4.170701847696521E+01,  3.321957921268690E+02,  3.457379089894744E+02, -1.171497681590924E+03,  1.493261211567362E-01,  1.749352047360818E+02,  7.783161403526367E+01, -3.886009176249662E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.158705822, A.D. 1977-Aug-20 15:48:32.1830,  2.724760001404310E+00,  6.702437425914466E+03,  4.170693460053793E+01,  3.321955310842113E+02,  3.457380325161570E+02, -1.231498143314788E+03,  1.493259796728444E-01,  1.838946667157697E+02,  7.914258168679444E+01, -3.886011630868816E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.159400266, A.D. 1977-Aug-20 15:49:32.1830,  2.724756859909908E+00,  6.702427781112491E+03,  4.170686257982073E+01,  3.321952937243018E+02,  3.457381492389286E+02, -1.291498469046558E+03,  1.493258940170167E-01,  1.928541635119855E+02,  8.035540950054336E+01, -3.886013116922806E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.160094711, A.D. 1977-Aug-20 15:50:32.1830,  2.724754295213729E+00,  6.702419190234884E+03,  4.170680050561348E+01,  3.321950775669785E+02,  3.457382592267141E+02, -1.351498688611601E+03,  1.493258480468571E-01,  2.018136878111426E+02,  8.148040124951615E+01, -3.886013914465614E+03,  9.999999999999998E+99,  9.999999999999998E+99,
