            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2443376.147698877, A.D. 1977-Aug-20 15:32:41.1830,  2.725369895157012E+00,  6.702465110293391E+03,  4.171228844056853E+01,  3.322029050355936E+02,  3.457330346467094E+02, -2.804543497053431E+02,  1.494042659204676E-01,  4.190107624192888E+01,  3.280020823389306E+01, -3.884654026424551E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147710451, A.D. 1977-Aug-20 15:32:42.1830,  2.725367915153355E+00,  6.702466502329656E+03,  4.171227795139086E+01,  3.322028997356813E+02,  3.457330617882705E+02, -2.814542732256900E+02,  1.494039621954346E-01,  4.205038359675451E+01,  3.289939695324582E+01, -3.884659291194665E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147722025, A.D. 1977-Aug-20 15:32:43.1830,  2.725365935681520E+00,  6.702467888266408E+03,  4.171226743957114E+01,  3.322028943938848E+02,  3.457330887445853E+02, -2.824541986891552E+02,  1.494036587437557E-01,  4.219969071169551E+01,  3.299843143814259E+01, -3.884664551244273E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147733599, A.D. 1977-Aug-20 15:32:44.1830,  2.725363956810824E+00,  6.702469268068031E+03,  4.171225690551860E+01,  3.322028890102940E+02,  3.457331155164911E+02, -2.834541260842655E+02,  1.494033555756244E-01,  4.234899758874538E+01,  3.309731163713386E+01, -3.884669806396630E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147745173, A.D. 1977-Aug-20 15:32:45.1830,  2.725361978609928E+00,  6.702470641699637E+03,  4.171224634964037E+01,  3.322028835850014E+02,  3.457331421048291E+02, -2.844540553995081E+02,  1.494030527011234E-01,  4.249830422990100E+01,  3.319603750162344E+01, -3.884675056476912E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147756748, A.D. 1977-Aug-20 15:32:46.1830,  2.725360001146832E+00,  6.702472009127089E+03,  4.171223577234155E+01,  3.322028781181017E+02,  3.457331685104439E+02, -2.854539866233335E+02,  1.494027501302252E-01,  4.264761063716256E+01,  3.329460898585197E+01, -3.884680301312201E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147768322, A.D. 1977-Aug-20 15:32:47.1830,  2.725358024488878E+00,  6.702473370316979E+03,  4.171222517402509E+01,  3.322028726096922E+02,  3.457331947341834E+02, -2.864539197441553E+02,  1.494024478727926E-01,  4.279691681253328E+01,  3.339302604687961E+01, -3.884685540731480E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147779896, A.D. 1977-Aug-20 15:32:48.1830,  2.725356048702752E+00,  6.702474725236613E+03,  4.171221455509188E+01,  3.322028670598726E+02,  3.457332207768986E+02, -2.874538547503531E+02,  1.494021459385777E-01,  4.294622275801897E+01,  3.349128864456944E+01, -3.884690774565646E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147791470, A.D. 1977-Aug-20 15:32:49.1830,  2.725354073854480E+00,  6.702476073854048E+03,  4.171220391594070E+01,  3.322028614687450E+02,  3.457332466394440E+02, -2.884537916302735E+02,  1.494018443372238E-01,  4.309552847562813E+01,  3.358939674157045E+01, -3.884696002647481E+03,  9.999999999999998E+99,  9.999999999999998E+99,
2443376.147803044, A.D. 1977-Aug-20 15:32:50.1830,  2.725352100009438E+00,  6.702477416138051E+03,  4.171219325696818E+01,  3.322028558364137E+02,  3.457332723226767E+02, -2.894537303722323E+02,  1.494015430782648E-01,  4.324483396737149E+01,  3.368735030330054E+01, -3.884701224811665E+03,  9.999999999999998E+99,  9.999999999999998E+99,
