            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
******************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2443376.155233600, A.D. 1977-Aug-20 15:43:32.1830,      48.182846,  1.031069519321720E+04,  4.011949404788771E+03,  7.448700895339957E+03,  3.836445933733436E+00,  8.715654101972493E+00,  8.465481380350013E+00,  4.448916273811664E-02,  1.333751545162200E+04,  1.031526652554332E+01,
2443376.155928044, A.D. 1977-Aug-20 15:44:32.1830,      48.182846,  1.053788169417306E+04,  4.533680441370496E+03,  7.954428571477656E+03,  3.738318008666122E+00,  8.675478171987763E+00,  8.392967982298664E+00,  4.656465676436634E-02,  1.395973290731571E+04,  1.042190877878815E+01,
2443376.156622489, A.D. 1977-Aug-20 15:45:32.1830,      48.182846,  1.075950312193584E+04,  5.053022239582656E+03,  8.455956586460976E+03,  3.650686983230850E+00,  8.636070142056731E+00,  8.325431004453604E+00,  4.865957551823657E-02,  1.458777374984876E+04,  1.050998721600797E+01,
2443376.157316933, A.D. 1977-Aug-20 15:46:32.1830,      48.182846,  1.097614555350192E+04,  5.570029879869693E+03,  8.953572405799894E+03,  3.572134240567205E+00,  8.597709743665980E+00,  8.262500009857110E+00,  5.077054417491601E-02,  1.522062623219565E+04,  1.058278780161083E+01,
2443376.158011377, A.D. 1977-Aug-20 15:47:32.1830,      48.182846,  1.118831664333136E+04,  6.084771913704398E+03,  9.447541446494577E+03,  3.501458195558103E+00,  8.560572141375564E+00,  8.203812557722904E+00,  5.289478037927857E-02,  1.585745622527409E+04,  1.064296875218501E+01,
2443376.158705822, A.D. 1977-Aug-20 15:48:32.1830,      48.182846,  1.139645759186772E+04,  6.597325042248560E+03,  9.938107868972982E+03,  3.437639984957201E+00,  8.524758081143183E+00,  8.149023675782828E+00,  5.502998177328330E-02,  1.649757349950780E+04,  1.069268729698447E+01,
2443376.159400266, A.D. 1977-Aug-20 15:49:32.1830,      48.182846,  1.160095320034119E+04,  7.107770342007330E+03,  1.042549579119075E+04,  3.379813975333420E+00,  8.490315740875841E+00,  8.097810796433601E+00,  5.717423620149722E-02,  1.714040480511943E+04,  1.073370043699927E+01,
2443376.160094711, A.D. 1977-Aug-20 15:50:32.1830,      48.182846,  1.180214029474816E+04,  7.616190610475775E+03,  1.090991070606052E+04,  3.327242824214863E+00,  8.457256534071901E+00,  8.049875822382656E+00,  5.932594990726806E-02,  1.778547234588476E+04,  1.076744474951446E+01,
2443376.160789155, A.D. 1977-Aug-20 15:51:32.1830,      48.182846,  1.200031477799326E+04,  8.122668521222518E+03,  1.139154096528508E+04,  3.279296599669927E+00,  8.425566521769763E+00,  8.004945421212286E+00,  6.148378996836348E-02,  1.843237652177143E+04,  1.079509952836922E+01,
2443376.161483599, A.D. 1977-Aug-20 15:52:32.1830,      48.182846,  1.219573753696619E+04,  8.627285363033081E+03,  1.187055924642126E+04,  3.235435398327690E+00,  8.395214639683953E+00,  7.962770267238334E+00,  6.364663800084944E-02,  1.908078204971086E+04,  1.081763677198455E+01,
2443376.162178044, A.D. 1977-Aug-20 15:53:32.1830,      48.182846,  1.238863939796177E+04,  9.130120199708021E+03,  1.234712395496523E+04,  3.195194918750408E+00,  8.366158616398907E+00,  7.923123694929788E+00,  6.581355279112706E-02,  1.973040676096474E+04,  1.083586083115855E+01,
2443376.162872489, A.D. 1977-Aug-20 15:54:32.1830,      48.182846,  1.257922529276119E+04,  9.631249332032523E+03,  1.282138053570976E+04,  3.158174500503354E+00,  8.338349216964328E+00,  7.885800059920160E+00,  6.798374001789055E-02,  2.038101252399637E+04,  1.085043993855628E+01,
2443376.163566933, A.D. 1977-Aug-20 15:55:32.1830,      48.182846,  1.276767777026089E+04,  1.013074597595915E+04,  1.329346268183231E+04,  3.124027204923879E+00,  8.311733271150949E+00,  7.850612992936275E+00,  7.015652762070484E-02,  2.103239786015600E+04,  1.086193136217930E+01,
2443376.164261377, A.D. 1977-Aug-20 15:56:32.1830,      48.182846,  1.295415996508287E+04,  1.062868009459981E+04,  1.376349343896568E+04,  3.092451579222942E+00,  8.286255819112093E+00,  7.817393659573440E+00,  7.233134568091003E-02,  2.168439191212770E+04,  1.087080154350092E+01,
2443376.164955822, A.D. 1977-Aug-20 15:57:32.1830,      48.182846,  1.313881811502686E+04,  1.112511833894595E+04,  1.423158620700011E+04,  3.063184805490564E+00,  8.261861615885898E+00,  7.785989091841531E+00,  7.450770992275244E-02,  2.233684949769294E+04,  1.087744228124832E+01,
2443376.165650266, A.D. 1977-Aug-20 15:58:32.1830,      48.182846,  1.332178370226999E+04,  1.162012406291509E+04,  1.469784564371540E+04,  3.035996988626795E+00,  8.238496170248354E+00,  7.756260627301722E+00,  7.668520812301229E-02,  2.298964703543942E+04,  1.088218378821630E+01,
2443376.166344711, A.D. 1977-Aug-20 15:59:32.1830,      48.182846,  1.350317528179884E+04,  1.211375739250858E+04,  1.516236848076690E+04,  3.010686380884986E+00,  8.216106445643055E+00,  7.728082472141292E+00,  7.886348888692359E-02,  2.364267917986650E+04,  1.088530526712396E+01,
2443376.167039155, A.D. 1977-Aug-20 16:00:32.1830,      48.182846,  1.368310004627208E+04,  1.260607532683228E+04,  1.562524425498688E+04,  2.987075378435707E+00,  8.194641316564391E+00,  7.701340393193293E+00,  8.104225232472956E-02,  2.429585602628689E+04,  1.088704351104690E+01,
2443376.167733599, A.D. 1977-Aug-20 16:01:32.1830,      48.182846,  1.386165517086228E+04,  1.309713186214564E+04,  1.608655596618637E+04,  2.965007154738420E+00,  8.174051848445780E+00,  7.675930536181335E+00,  8.322124229111916E-02,  2.494910078426816E+04,  1.088759992501835E+01,
