            JDTDB,            Calendar Date (TDB),        delta-T,                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
******************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2443376.147722025, A.D. 1977-Aug-20 15:32:43.1830,      48.182846,  7.215853481178144E+03, -1.744639734562426E+03,  1.623810042651776E+03,  6.229883034849243E+00,  8.814475325281501E+00,  9.539762869072749E+00,  2.534847216365085E-02,  7.599280776485466E+03,  5.930377277716899E+00,
2443376.147733599, A.D. 1977-Aug-20 15:32:44.1830,      48.182846,  7.222080085851587E+03, -1.735824468154792E+03,  1.633349064846167E+03,  6.223327934350453E+00,  8.816055537587395E+00,  9.538280653530004E+00,  2.536828005053323E-02,  7.605219031581720E+03,  5.946125867714683E+00,
2443376.147745173, A.D. 1977-Aug-20 15:32:45.1830,      48.182846,  7.228300140295637E+03, -1.727007627385725E+03,  1.642886602233219E+03,  6.216782580218550E+00,  8.817624054472999E+00,  9.536793261133193E+00,  2.538814039855371E-02,  7.611173014131515E+03,  5.961832189600810E+00,
2443376.147756748, A.D. 1977-Aug-20 15:32:46.1830,      48.182846,  7.234513654269064E+03, -1.718189223931655E+03,  1.652422649656276E+03,  6.210246997195244E+00,  8.819180913933270E+00,  9.535300732259286E+00,  2.540805306676953E-02,  7.617142681881274E+03,  5.977496272577710E+00,
2443376.147768322, A.D. 1977-Aug-20 15:32:47.1830,      48.182846,  7.240720637555191E+03, -1.709369269430982E+03,  1.661957201999004E+03,  6.203721209650043E+00,  8.820726154026959E+00,  9.533803107180056E+00,  2.542801791433672E-02,  7.623127992607039E+03,  5.993118146686946E+00,
2443376.147779896, A.D. 1977-Aug-20 15:32:48.1830,      48.182846,  7.246921099961528E+03, -1.700547775484017E+03,  1.671490254185290E+03,  6.197205241581867E+00,  8.822259812874393E+00,  9.532300426061006E+00,  2.544803480051292E-02,  7.629128904115308E+03,  6.008697842801665E+00,
2443376.147791470, A.D. 1977-Aug-20 15:32:49.1830,      48.182846,  7.253115051319395E+03, -1.691724753652923E+03,  1.681021801179133E+03,  6.190699116620704E+00,  8.823781928655281E+00,  9.530792728960320E+00,  2.546810358466012E-02,  7.635145374243868E+03,  6.024235392619073E+00,
2443376.147803044, A.D. 1977-Aug-20 15:32:50.1830,      48.182846,  7.259302501483564E+03, -1.682900215461651E+03,  1.690551837984535E+03,  6.184202858029256E+00,  8.825292539606520E+00,  9.529280055827815E+00,  2.548822412624740E-02,  7.641177360862611E+03,  6.039730828652932E+00,
2443376.147814618, A.D. 1977-Aug-20 15:32:51.1830,      48.182846,  7.265483460331880E+03, -1.674074172395889E+03,  1.700080359645393E+03,  6.177716488704593E+00,  8.826791684020037E+00,  9.527762446503930E+00,  2.550839628485365E-02,  7.647224821874344E+03,  6.055184184226032E+00,
2443376.147826192, A.D. 1977-Aug-20 15:32:52.1830,      48.182846,  7.271657937764910E+03, -1.665246635903009E+03,  1.709607361245390E+03,  6.171240031179836E+00,  8.828279400240616E+00,  9.526239940718716E+00,  2.552861992017026E-02,  7.653287715215606E+03,  6.070595493462723E+00,
